QuestionId_Answer,QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,QuestionText,Answer,AnswerText,Correct,CorrectAnswer,CorrectAnswerText,FirstSubjectId,FirstSubjectName,SecondSubjectId,SecondSubjectName,ThirdSubjectId,ThirdSubjectName,MisconceptionId
0_D,0,856,Use the order of operations to carry out calculations involving powers,33,BIDMAS,"\[
3 \times 2+4-5
\]
Where do the brackets need to go to make the answer equal \( 13 \) ?",D,Does not need brackets,0,A,\( 3 \times(2+4)-5 \),32,Number,144,Basic Arithmetic,33,BIDMAS,1672.0
1_A,1,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",A,\( m+1 \),0,D,Does not simplify,49,Algebra,255,Algebraic Fractions,1077,Simplifying Algebraic Fractions,2142.0
1_B,1,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",B,\( m+2 \),0,D,Does not simplify,49,Algebra,255,Algebraic Fractions,1077,Simplifying Algebraic Fractions,143.0
1_C,1,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",C,\( m-1 \),0,D,Does not simplify,49,Algebra,255,Algebraic Fractions,1077,Simplifying Algebraic Fractions,2142.0
2_A,2,2774,Calculate the range from a list of data,339,Range and Interquartile Range from a List of Data,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?",A,"Only
Tom",0,B,"Only
Katie",101,Data and Statistics,338,Data Processing,339,Range and Interquartile Range from a List of Data,1287.0
2_C,2,2774,Calculate the range from a list of data,339,Range and Interquartile Range from a List of Data,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?",C,Both Tom and Katie,0,B,"Only
Katie",101,Data and Statistics,338,Data Processing,339,Range and Interquartile Range from a List of Data,1287.0
2_D,2,2774,Calculate the range from a list of data,339,Range and Interquartile Range from a List of Data,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?",D,Neither is correct,0,B,"Only
Katie",101,Data and Statistics,338,Data Processing,339,Range and Interquartile Range from a List of Data,1073.0
3_A,3,2377,Recall and use the intersecting diagonals properties of a rectangle,88,Properties of Quadrilaterals,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),A,acute,0,C,\( 90^{\circ} \),71,Geometry and Measure,174,2D Names and Properties of Shapes,88,Properties of Quadrilaterals,1180.0
3_B,3,2377,Recall and use the intersecting diagonals properties of a rectangle,88,Properties of Quadrilaterals,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),B,obtuse,0,C,\( 90^{\circ} \),71,Geometry and Measure,174,2D Names and Properties of Shapes,88,Properties of Quadrilaterals,1180.0
3_D,3,2377,Recall and use the intersecting diagonals properties of a rectangle,88,Properties of Quadrilaterals,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),D,Not enough information,0,C,\( 90^{\circ} \),71,Geometry and Measure,174,2D Names and Properties of Shapes,88,Properties of Quadrilaterals,1180.0
4_D,4,3387,Substitute positive integer values into formulae involving powers or roots,67,Substitution into Formula,"The equation \( f=3 r^{2}+3 \) is used to find values in the table below. What is the value covered by the star? \begin{tabular}{|c|c|c|c|c|}
\hline\( r \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( f \) & \( 6 \) & \( 15 \) & \( \color{gold}\bigstar \) & \\
\hline
\end{tabular}",D,\( 24 \),0,A,\( 30 \),49,Algebra,156,Formula,67,Substitution into Formula,1818.0
